ticker,company,industry,form,score,recommended
WSUPW,Wheels Up Experience Inc.,"Air Transportation, Nonscheduled",8-K,5,True
MRAI,"Marpai, Inc.","Services-Misc Health & Allied Services, NEC",8-K,5,True
GHM,GRAHAM CORP,General Industrial Machinery & Equipment,8-K,5,True
YYAI,Connexa Sports Technologies Inc.,"Services-Computer Programming, Data Processing, Etc.",8-K,5,True
APLD,Applied Digital Corp.,Services-Computer Processing & Data Preparation,8-K,5,True
SAIC,Science Applications International Corp,Services-Computer Integrated Systems Design,8-K,5,True
WSUPW,Wheels Up Experience Inc.,"Air Transportation, Nonscheduled",424B5,3,False
CVI,CVR ENERGY INC,Petroleum Refining,8-K,5,True
,3 - Sorbe Brian James,,3,2,False
AGCO,AGCO CORP /DE,Farm Machinery & Equipment,3,2,False
SASOF,SASOL LTD,Crude Petroleum & Natural Gas,6-K,4,False
,424B3 - FS Credit Income Fund,,424B3,3,False
SASOF,SASOL LTD,Crude Petroleum & Natural Gas,6-K,4,False
CYTOF,Altamira Therapeutics Ltd.,Pharmaceutical Preparations,6-K,4,False
CROX,"Crocs, Inc.",Rubber & Plastics Footwear,8-K,5,True
LANV-WT,Lanvin Group Holdings Ltd,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,6-K,4,False
SPRC,SciSparc Ltd.,Retail-Auto Dealers & Gasoline Stations,6-K,4,False
LANV-WT,Lanvin Group Holdings Ltd,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,6-K,4,False
FI,FISERV INC,"Services-Business Services, NEC",8-K,5,True
JFBRW,Jeffs' Brands Ltd,Retail-Miscellaneous Retail,424B3,3,False
CHA,Chagee Holdings Ltd.,Retail-Eating & Drinking Places,6-K,4,False
JFBRW,Jeffs' Brands Ltd,Retail-Miscellaneous Retail,6-K,4,False
,4 - Chao James,,4,3,False
WLK,WESTLAKE CORP,Industrial Organic Chemicals,4,3,False
,424B2 - ONTARIO PROVINCE OF,Foreign Governments,424B2,3,False
DD,"DuPont de Nemours, Inc.","Plastic Materials, Synth Resins & Nonvulcan Elastomers",8-K,5,True
DOOO,BRP Inc.,Miscellaneous Transportation Equipment,6-K,4,False
GHRS,GH Research PLC,Pharmaceutical Preparations,6-K,4,False
DOOO,BRP Inc.,Miscellaneous Transportation Equipment,6-K,4,False
MEOBF,MESOBLAST LTD,"Biological Products, (No Diagnostic Substances)",6-K,4,False
BEIGF,BeOne Medicines Ltd.,Pharmaceutical Preparations,8-K,5,True
TRINI,Trinity Capital Inc.,,8-K,5,True
TRINI,Trinity Capital Inc.,,424B2,3,False
RDY,DR REDDYS LABORATORIES LTD,Pharmaceutical Preparations,6-K,4,False
GLAXF,GSK plc,Pharmaceutical Preparations,6-K,4,False
LOTWW,Lotus Technology Inc.,Motor Vehicles & Passenger Car Bodies,6-K,4,False
GRFXY,Graphex Group Ltd,Electrical Industrial Apparatus,6-K,4,False
,"424B3 - FedEx Office & Print Services, Inc",Air Courier Services,424B3,3,False
,424B3 - FEDEX FREIGHT INC,Air Courier Services,424B3,3,False
,424B3 - FEDERAL EXPRESS INTERNATIONAL INC,Air Courier Services,424B3,3,False
,"424B3 - FEDERAL EXPRESS HOLDINGS S A, LLC",Air Courier Services,424B3,3,False
,424B3 - FEDERAL EXPRESS EUROPE INC,Air Courier Services,424B3,3,False
